timestamp(ms),AccelX,AccelY,AccelZ,AccelXExp,AccelYExp,AccelZExp,
"1701189315.017","-120",,,,,,
"1701189315.018",,"6","2050","-124","2","2047",
"1701189315.098","-120",,,,,,
"1701189315.099",,"4","2047","-124","2","2045",
"1701189315.179","-120","5","2050","-124","2","2048",
"1701189315.26","-120","7","2053","-124","2","2048",
"1701189315.339","-120","6","2055","-124","2","2048",
"1701189315.419","-120",,,,,,
"1701189315.42",,"5","2054","-124","2","2048",
"1701189315.5","-120",,,,,,
"1701189315.501",,"5","2051","-124","2","2048",
"1701189315.581","-120",,,,,,
"1701189315.582",,"6","2050","-124","2","2048",
"1701189315.662","-120",,,,,,
"1701189315.663",,"4","2053","-124","2","2048",
"1701189315.743","-120","6","2054","-124","2","2049",
"1701189315.823","-120",,,,,,
"1701189315.824",,"4","2048","-124","2","2046",
"1701189315.905","-130","14","2050","-131","5","2046",
"1701189315.985","-120","4","2054","-119","0","2046",
"1701189316.066","-120","7","2052","-120","0","2047",
"1701189316.146","-120","5","2051","-121","0","2047",
"1701189316.227","-120","7","2050","-121","0","2047",
"1701189316.307","-120","7","2051","-122","0","2047",
"1701189316.387","-120","5","2053","-122","0","2047",
"1701189316.467","-120",,,,,,
"1701189316.468",,"6","2052","-122","0","2046",
"1701189316.567","-120","6","2049","-124","0","2045",
"1701189316.629","-120",,,,,,
"1701189316.63",,"8","2053","-124","0","2046",
"1701189316.711","-120",,,,,,
"1701189316.712",,"6","2048","-124","0","2043",
"1701189316.79","-120",,,,,,
"1701189316.791",,"6","2050","-124","0","2045",
"1701189316.87","-120",,,,,,
"1701189316.871",,"7","2050","-124","0","2047",
"1701189316.952","-120","6","2052","-124","0","2047",
"1701189317.031","-120",,,,,,
"1701189317.032",,"7","2052","-124","0","2047",
"1701189317.113","-120","5","2055","-124","0","2047",
"1701189317.193","-120","8","2051","-124","1","2047",
"1701189317.271","-120",,,,,,
"1701189317.272",,"8","2050","-124","1","2047",
"1701189317.354","-120","5","2053","-124","1","2047",
"1701189317.434","-120","6","2050","-124","1","2047",
"1701189317.514","-120",,,,,,
"1701189317.515",,"6","2053","-124","1","2047",
"1701189317.596","-120","6","2053","-124","1","2047",
"1701189317.676","-120",,,,,,
"1701189317.677",,"5","2050","-124","1","2047",
"1701189317.758","-120","7","2048","-124","1","2046",
"1701189317.839","-120","6","2050","-124","1","2046",
"1701189317.919","-120",,,,,,
